ID,NAME,MONTH,YEAR,RAIN,TMEAN
6,Pongola - SASRI,4,1997,92.7,20.5
6,Pongola - SASRI,5,1997,49.9,17.7
6,Pongola - SASRI,6,1997,41.9,16.2
6,Pongola - SASRI,7,1997,18.2,15.7
6,Pongola - SASRI,8,1997,36.8,18.1
6,Pongola - SASRI,9,1997,58.4,20
6,Pongola - SASRI,10,1997,124.4,20.8
6,Pongola - SASRI,11,1997,170.6,22.2
6,Pongola - SASRI,12,1997,40.4,23.7
6,Pongola - SASRI,1,1998,108.7,24.9
6,Pongola - SASRI,2,1998,56.2,25.4
6,Pongola - SASRI,3,1998,55.8,24.2
6,Pongola - SASRI,4,1998,16.8,22.2
6,Pongola - SASRI,5,1998,18.4,19.8
6,Pongola - SASRI,6,1998,0,16.9
6,Pongola - SASRI,7,1998,3.1,17.1
6,Pongola - SASRI,8,1998,0.6,18.6
6,Pongola - SASRI,9,1998,17.3,20.6
6,Pongola - SASRI,10,1998,95.4,21.2
6,Pongola - SASRI,11,1998,130.5,23.5
6,Pongola - SASRI,12,1998,172.8,23.3
6,Pongola - SASRI,1,1999,73.9,25.5
6,Pongola - SASRI,2,1999,19.8,25.4
6,Pongola - SASRI,3,1999,22.2,25.1
6,Pongola - SASRI,4,1999,21.4,22.1
6,Pongola - SASRI,5,1999,20.6,19.8
6,Pongola - SASRI,6,1999,12,17.7
6,Pongola - SASRI,7,1999,2,17.3
6,Pongola - SASRI,8,1999,25.6,18.7
6,Pongola - SASRI,9,1999,15,19.6
6,Pongola - SASRI,10,1999,114,20.5
6,Pongola - SASRI,11,1999,78,24
6,Pongola - SASRI,12,1999,303.6,25.1
6,Pongola - SASRI,1,2000,150,23.6
6,Pongola - SASRI,2,2000,289.2,24.7
6,Pongola - SASRI,3,2000,151.3,24.5
6,Pongola - SASRI,4,2000,78.4,20.5
6,Pongola - SASRI,5,2000,23.6,17.8
6,Pongola - SASRI,6,2000,1.2,17.3
6,Pongola - SASRI,7,2000,0.6,16.2
6,Pongola - SASRI,8,2000,1.2,18.2
6,Pongola - SASRI,9,2000,44.6,20
6,Pongola - SASRI,10,2000,128.4,21.2
6,Pongola - SASRI,11,2000,204.1,23
6,Pongola - SASRI,12,2000,168.4,24.4
6,Pongola - SASRI,1,2001,56.4,24.1
6,Pongola - SASRI,2,2001,110.1,23.8
6,Pongola - SASRI,3,2001,58.4,24.4
6,Pongola - SASRI,4,2001,47,22.4
6,Pongola - SASRI,5,2001,15,19
6,Pongola - SASRI,6,2001,0,17.5
6,Pongola - SASRI,7,2001,7.4,16.6
6,Pongola - SASRI,8,2001,0,18.6
6,Pongola - SASRI,9,2001,40,19.8
6,Pongola - SASRI,10,2001,111,21.4
6,Pongola - SASRI,11,2001,175,23.5
6,Pongola - SASRI,12,2001,107.2,23.9
6,Pongola - SASRI,1,2002,255,25.7
6,Pongola - SASRI,2,2002,31,24.1
6,Pongola - SASRI,3,2002,27.1,24.7
6,Pongola - SASRI,4,2002,33,22.8
6,Pongola - SASRI,5,2002,0,19.3
6,Pongola - SASRI,6,2002,11,16.1
6,Pongola - SASRI,7,2002,56,16.3
6,Pongola - SASRI,8,2002,4,19.3
6,Pongola - SASRI,9,2002,8,20.3
6,Pongola - SASRI,10,2002,19.8,22.2
6,Pongola - SASRI,11,2002,44.4,21.8
6,Pongola - SASRI,12,2002,124,24.8
6,Pongola - SASRI,1,2003,99,25.4
6,Pongola - SASRI,2,2003,85,26.2
6,Pongola - SASRI,3,2003,47,25.5
6,Pongola - SASRI,4,2003,4.6,23.7
6,Pongola - SASRI,5,2003,7.5,19.5
6,Pongola - SASRI,6,2003,48,16.8
6,Pongola - SASRI,7,2003,1.1,16.9
6,Pongola - SASRI,8,2003,1.3,17.5
6,Pongola - SASRI,9,2003,20.7,20.8
6,Pongola - SASRI,10,2003,38.1,22.5
6,Pongola - SASRI,11,2003,94.7,23.6
6,Pongola - SASRI,12,2003,44.6,25.3
6,Pongola - SASRI,1,2004,116.9,25.6
6,Pongola - SASRI,2,2004,131.6,24.9
6,Pongola - SASRI,3,2004,145,23.6
6,Pongola - SASRI,4,2004,24.9,21.8
6,Pongola - SASRI,5,2004,4.2,18.6
6,Pongola - SASRI,6,2004,8.1,15.8
6,Pongola - SASRI,7,2004,35.3,15.6
6,Pongola - SASRI,8,2004,0,19.2
6,Pongola - SASRI,9,2004,2.8,19.1
6,Pongola - SASRI,10,2004,22,22.5
6,Pongola - SASRI,11,2004,72.5,25.4
